No,Category,Issue,Keywords,Description,Platform,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Forms,Missing Labels,"label, form, input, accessibility",Form inputs without associated labels",Web","Use <label> with for/id or aria-label","Don't use placeholder as only label",'<label for="email">Email</label> <input id="email">', '<input placeholder="Email">',HIGH
2,Forms,Missing Validation,"validate, validation, form, input, error",Forms without real-time validation feedback",Web,"Show inline validation, error messages, success states","Don't only validate on submit",'.input:invalid:not(:placeholder-shown) { border-color: #EF4444; }', 'No visual validation feedback',HIGH
3,Forms,Poor Autocomplete,"autocomplete, autofill, form, input",Missing autocomplete attributes on forms",Web,"Add autocomplete attribute for common fields","Don't force users to re-enter known information",'<input type="email" autocomplete="email">', '<input type="email">',MEDIUM
4,Forms,Missing Input Types,"input type, email, phone, number, date",Using text type for all inputs",Web,"Use appropriate input types (email, tel, number, date)","Don't use type='text' for everything",'<input type="email"> <input type="tel">', '<input type="text" placeholder="Email">',MEDIUM
5,Keyboard,Missing Keyboard Nav,"keyboard, navigation, tab, focus, a11y",Interactive elements not keyboard accessible",Web,"Ensure all interactive elements are keyboard navigable","Don't rely only on mouse interactions","All buttons/links naturally keyboard accessible; custom widgets need tabindex + key handlers", 'div with onclick but no tabindex or key handler',HIGH
6,Keyboard,Focus Trapping Issues,"focus, trap, modal, dialog, escape",Modal dialogs without proper focus management",Web,"Trap focus in modals, provide Escape to close","Don't trap focus without escape route",document.addEventListener('keydown', e => { if (e.key === 'Escape') close(); });', 'Modal opens but focus goes to background',HIGH
7,Keyboard,Skip Navigation,"skip, navigation, link, accessibility",No way to skip repetitive navigation",Web,"Add skip navigation link as first focusable element","Don't force keyboard users to tab through entire nav",'<a href="#main" class="skip-link">Skip to content</a>', 'No skip navigation link',MEDIUM
8,ARIA,Missing Roles,"role, aria, landmark, semantic",Interactive elements without proper ARIA roles",Web,"Add appropriate role attributes for custom widgets","Don't use divs for interactive elements without roles",'<div role="tablist"> <div role="tab">...</div> </div>', '<div class="tabs"><div class="tab">...</div></div>',HIGH
9,ARIA,Missing Live Regions,"live, region, announce, dynamic, aria-live",Dynamic content updates not announced to screen readers",Web,"Use aria-live regions for dynamic content updates","Don't update content without announcing to assistive tech",'<div aria-live="polite">New message received</div>', 'Content updates silently',HIGH
10,ARIA,Incorrect ARIA Usage,"aria, incorrect, wrong, misuse",Using ARIA attributes incorrectly or unnecessarily",Web,"Use native HTML semantics first, add ARIA only when needed","Don't add ARIA to native HTML elements that already have semantics",'<button>Click</button> /* native semantics */', '<div role="button" tabindex="0">Click</div> /* unnecessary */',MEDIUM
11,Performance,Missing Preconnect,"preconnect, dns-prefetch, resource, third-party",Not preconnecting to third-party origins",Web,"Add preconnect hints for critical third-party domains","Don't wait until resource loading to establish connection",'<link rel="preconnect" href="https://fonts.googleapis.com">', 'No preconnect hints',MEDIUM
12,Performance,Missing Lazy Loading,"lazy, loading, image, below-fold",Loading all images eagerly including below-fold",Web,"Add loading='lazy' to below-fold images","Don't load all images immediately",'<img src="photo.jpg" loading="lazy" alt="...">', '<img src="photo.jpg"> /* loads immediately */',MEDIUM
13,Performance,Render Blocking Resources,"render, blocking, css, js, critical",Large CSS/JS blocking initial render",Web,"Inline critical CSS, defer non-critical JS","Don't load all CSS/JS synchronously",'<link rel="stylesheet" href="critical.css"> <link rel="stylesheet" href="full.css" media="print" onload="this.media=all">', '<link rel="stylesheet" href="huge.css">',HIGH
14,Semantic,Missing Semantic HTML,"semantic, html5, article, section, nav, main",Using divs instead of semantic HTML elements",Web,"Use semantic HTML5 elements (article, section, nav, main, aside)","Don't use divs for everything",'<article><header><h2>Title</h2></header><p>Content</p></article>', '<div class="article"><div class="header"><div>Title</div></div>...</div>',MEDIUM
15,Semantic,Incorrect Heading Hierarchy,"heading, h1, h2, h3, hierarchy, structure",Skipping heading levels (h1 to h3)",Web,"Maintain logical heading hierarchy (h1 > h2 > h3)","Don't skip heading levels for styling",'<h1>Title</h1> <h2>Section</h2> <h3>Subsection</h3>', '<h1>Title</h1> <h3>Section</h3> /* skipped h2 */',MEDIUM
16,Links,External Link Handling,"external, link, target, security",External links opening in same tab without indication",Web,"Add target='_blank' + rel='noopener' for external links, indicate external visually","Don't open external links in same tab without warning",'<a href="https://example.com" target="_blank" rel="noopener">External <span>(opens in new tab)</span></a>', '<a href="https://example.com">External</a>',LOW
17,Links,Empty Links,"link, empty, href, accessibility",Links without href or with href='#'",Web,"Ensure all links have meaningful href or use button for actions","Don't create links without destinations",'<a href="/about">About</a> <button onclick="doAction()">Action</button>', '<a href="#">Click</a> /* empty href */',MEDIUM
18,Responsive,Missing Viewport,"viewport, responsive, mobile, meta",No viewport meta tag",Web,"Add <meta name='viewport' content='width=device-width, initial-scale=1'>",Don't omit viewport meta tag",<meta name="viewport" content="width=device-width, initial-scale=1">', 'No viewport meta tag',HIGH
