No,UI_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity
1,SaaS (General),Hero + Features + CTA,Glassmorphism + Flat Design,Trust blue + Accent contrast,Professional + Hierarchy,Subtle hover (200-250ms) + Smooth transitions,"{""if_ux_focused"": ""prioritize-minimalism"", ""if_data_heavy"": ""add-glassmorphism""}",Excessive animation + Dark mode by default,HIGH
2,Micro SaaS,Minimal & Direct + Demo,Flat Design + Vibrant & Block,Vibrant primary + White space,Bold + Clean typography,Large CTA hover (300ms) + Scroll reveal,"{""if_quick_onboarding"": ""reduce-steps"", ""if_demo_available"": ""feature-interactive-demo""}",Complex onboarding flow + Cluttered layout,HIGH
3,E-commerce,Feature-Rich Showcase,Vibrant & Block-based,Brand primary + Success green,Engaging + Clear hierarchy,Card hover lift (200ms) + Scale effect,"{""if_luxury"": ""switch-to-liquid-glass"", ""if_conversion_focused"": ""add-urgency-colors""}",Flat design without depth + Text-heavy pages,HIGH
4,E-commerce Luxury,Feature-Rich Showcase,Liquid Glass + Glassmorphism,Premium colors + Minimal accent,Elegant + Refined typography,Chromatic aberration + Fluid animations (400-600ms),"{""if_checkout"": ""emphasize-trust"", ""if_hero_needed"": ""use-3d-hyperrealism""}",Vibrant & Block-based + Playful colors,HIGH
5,Healthcare App,Social Proof-Focused,Neumorphism + Accessible & Ethical,Calm blue + Health green,Readable + Large type (16px+),Soft box-shadow + Smooth press (150ms),"{""must_have"": ""wcag-aaa-compliance"", ""if_medication"": ""red-alert-colors""}",Bright neon colors + Motion-heavy animations + AI purple/pink gradients,HIGH
6,Fintech/Crypto,Conversion-Optimized,Glassmorphism + Dark Mode (OLED),Dark tech colors + Vibrant accents,Modern + Confident typography,Real-time chart animations + Alert pulse/glow,"{""must_have"": ""security-badges"", ""if_real_time"": ""add-streaming-data""}",Light backgrounds + No security indicators,HIGH
7,Education,Feature-Rich Showcase,Claymorphism + Micro-interactions,Playful colors + Clear hierarchy,Friendly + Engaging typography,Soft press (200ms) + Fluffy elements,"{""if_gamification"": ""add-progress-animation"", ""if_children"": ""increase-playfulness""}",Dark modes + Complex jargon,MEDIUM
8,Portfolio/Personal,Storytelling-Driven,Motion-Driven + Minimalism,Brand primary + Artistic,Expressive + Variable typography,Parallax (3-5 layers) + Scroll-triggered reveals,"{""if_creative_field"": ""add-brutalism"", ""if_minimal_portfolio"": ""reduce-motion""}",Corporate templates + Generic layouts,MEDIUM
9,Government/Public,Minimal & Direct,Accessible & Ethical + Minimalism,Professional blue + High contrast,Clear + Large typography,Clear focus rings (3-4px) + Skip links,"{""must_have"": ""wcag-aaa"", ""must_have"": ""keyboard-navigation""}",Ornate design + Low contrast + Motion effects + AI purple/pink gradients,HIGH
10,Creative Agency,Storytelling-Driven,Brutalism + Motion-Driven,Bold primaries + Artistic freedom,Expressive + Display fonts,Parallax + Scroll reveals + Page transitions,"{""if_brand_focused"": ""add-storytelling"", ""if_wow_factor"": ""add-3d-hyperrealism""}",Corporate templates + Generic layouts,MEDIUM
11,Gaming,Feature-Rich Showcase,3D & Hyperrealism + Retro-Futurism,Vibrant + Neon + Immersive,Custom + Gaming fonts,3D animations + Particle effects + Sound design,"{""if_mobile"": ""reduce-3d-complexity"", ""if_esports"": ""add-cyberpunk""}",Minimalist design + Light backgrounds,MEDIUM
12,Social Media,Feature-Rich Showcase,Vibrant & Block-based + Motion-Driven,Vibrant + Engagement colors,Bold + Clear hierarchy,Scroll animations + Pull-to-refresh + Infinite scroll,"{""if_video_platform"": ""prioritize-video"", ""if_stories"": ""add-disappearing-content""}",Dark mode only + Complex navigation,MEDIUM
13,Productivity Tool,Interactive Product Demo,Flat Design + Micro-interactions,Clear hierarchy + Functional colors,Clean + Readable,Keyboard shortcuts + Drag-drop + Smooth transitions,"{""if_project_management"": ""add-gantt"", ""if_note_taking"": ""add-markdown""}",Overwhelming UI + Too many features at once,MEDIUM
14,AI/Chatbot,Interactive Product Demo,AI-Native UI + Minimalism,Neutral + AI Purple,Clean + Modern,Streaming text + Typing indicators + Context transitions,"{""if_complex_ai"": ""add-advanced-controls"", ""if_simple"": ""minimize-chrome""}",Traditional form UI + Too much chrome,MEDIUM
15,Crypto/Web3,Feature-Rich Showcase,Cyberpunk UI + Glassmorphism,Dark + Neon + Gold,Modern + Tech fonts,Real-time data + Transaction animations + Glitch effects,"{""if_defi"": ""add-yield-dashboard"", ""if_nft"": ""add-gallery""}",Light mode + Simple design,MEDIUM
16,Restaurant/Food,Hero-Centric Design,Claymorphism + Vibrant & Block,Warm food colors + Brand,Playful + Appetizing,Food image animations + Order flow animations,"{""if_delivery"": ""add-tracking"", ""if_dine_in"": ""add-reservation""}",Cold colors + Minimal food imagery,MEDIUM
17,Travel/Hotel,Hero-Centric Design,Glassmorphism + Aurora UI,Trust blue + Adventure colors,Inspiring + Clean,Parallax + Image galleries + Booking animations,"{""if_budget"": ""emphasize-prices"", ""if_luxury"": ""add-premium-visuals""}",Generic stock photos + Complex booking flow,MEDIUM
18,Real Estate,Feature-Rich Showcase,Minimalism + Glassmorphism,Trust blue + Earth tones,Professional + Clean,Property gallery animations + Search animations,"{""if_rental"": ""add-calendar"", ""if_buy"": ""add-mortgage-calculator""}",Low-quality images + Complex navigation,MEDIUM
19,Health & Fitness,Hero-Centric Design,Neumorphism + Claymorphism,Calm blue/green + Energetic accent,Motivating + Clear,Progress animations + Goal tracking animations,"{""if_social"": ""add-leaderboard"", ""if_coaching"": ""add-schedule""}",Aggressive colors + Complex interfaces,MEDIUM
