No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Responsive,Mobile-First Approach,"Start with mobile layout and add complexity for larger screens","Write mobile styles first, use min-width breakpoints","Don't write desktop styles first then override for mobile",'.container { padding: 1rem; } @media (min-width: 768px) { .container { padding: 2rem; } }', '.container { padding: 2rem; } @media (max-width: 768px) { .container { padding: 1rem; } }',HIGH,https://tailwindcss.com/docs/responsive-design
2,Responsive,Responsive Typography,"Use clamp() for fluid typography that scales between breakpoints","Use text-[clamp(1rem,2.5vw,2rem)] for fluid sizing","Don't use fixed font sizes that jump at breakpoints",'<h1 class="text-[clamp(1.5rem,4vw,3rem)]">Title</h1>', '<h1 class="text-3xl md:text-5xl">Title</h1> /* jumps */',MEDIUM,https://tailwindcss.com/docs/font-size
3,Accessibility,Semantic HTML,"Use proper HTML5 semantic elements","Use <nav>, <main>, <article>, <section>, <aside>","Don't use divs for everything",'<nav><ul><li><a href="/">Home</a></li></ul></nav>', '<div class="nav"><div class="link">Home</div></div>',HIGH,https://tailwindcss.com/docs/optimizing-for-production
4,Accessibility,Focus Management,"Ensure visible focus states for keyboard navigation","Use focus:ring or focus:outline classes","Don't remove focus outlines without alternatives",'<button class="focus:ring-2 focus:ring-blue-500 focus:ring-offset-2">Click</button>', '<button class="outline-none">Click</button>',HIGH,https://tailwindcss.com/docs focus-visible
5,Accessibility,ARIA Labels,"Add ARIA labels to interactive elements without text","Use aria-label on icon buttons and custom components","Don't rely on visual-only labels",'<button aria-label="Close"><svg>...</svg></button>', '<button><svg>...</svg></button> /* no label */',HIGH,https://tailwindcss.com/docs
6,Performance,Utility-First,"Use Tailwind utilities directly in HTML","Compose utilities in markup, extract with @apply only when needed","Don't create custom CSS classes when utilities exist",'<button class="bg-blue-500 text-white px-4 py-2 rounded-lg hover:bg-blue-600 transition-colors">', '<button class="my-btn"> /* custom class for simple styling */',MEDIUM,https://tailwindcss.com/docs/utility-first
7,Performance,JIT Mode,"Use Just-In-Time mode for smaller CSS bundles","Enable JIT in Tailwind config for production","Don't use full Tailwind CSS in production",module.exports = { mode: 'jit', content: ['./src/**/*.{js,jsx}'] }', /* no JIT mode */',MEDIUM,https://tailwindcss.com/docs/optimizing-for-production
8,Performance,Purge Unused CSS,"Remove unused Tailwind classes from production CSS","Configure purge/content paths in tailwind.config.js","Don't ship unused CSS to production",content: ['./src/**/*.{js,jsx}', './pages/**/*.{js,jsx}'],', /* no purge config */',HIGH,https://tailwindcss.com/docs/optimizing-for-production
9,Components,Reusable Patterns,"Extract common patterns into reusable components","Create component files, use @apply for repeated patterns","Don't repeat the same utility combinations everywhere",'<Button variant="primary" size="lg">Click</Button>', '<button class="bg-blue-500 text-white px-4 py-2 rounded-lg"> /* repeated */',MEDIUM,https://tailwindcss.com/docs
10,Components,Variant System,"Use Tailwind's @apply with variant classes","Create components with variant props, use clsx for conditional classes","Don't hardcode every variant in every instance",function Button({ variant = 'primary' }) { const base = 'px-4 py-2 rounded-lg'; const variants = { primary: 'bg-blue-500 text-white', secondary: 'bg-gray-200 text-gray-800' }; return <button className={clsx(base, variants[variant])}>; }', '<button class="bg-blue-500 text-white px-4 py-2 rounded-lg"> ... <button class="bg-gray-200 text-gray-800 px-4 py-2 rounded-lg">',MEDIUM,https://tailwindcss.com/docs
