No,Token Category,Token Name,Keywords,Usage,CSS Variable,Tailwind,Value Light,Value Dark
1,Color,Primary Color,"primary, brand, main, accent, highlight","Main brand color for buttons, links, key UI elements","--color-primary","text-blue-600 bg-blue-600","#2563EB","#3B82F6"
2,Color,Secondary Color,"secondary, supporting, complement","Secondary brand color for supporting elements","--color-secondary","text-blue-400 bg-blue-400","#3B82F6","#60A5FA"
3,Color,CTA Color,"cta, call-to-action, button, convert, accent","Call-to-action color for high-priority buttons","--color-cta","text-orange-500 bg-orange-500","#F97316","#FB923C"
4,Color,Background Color,"background, bg, surface, base","Main background color","--color-bg","bg-white","#FFFFFF","#0F172A"
5,Color,Surface Color,"surface, card, elevated, container","Card and elevated surface background","--color-surface","bg-gray-50","#F8FAFC","#1E293B"
6,Color,Text Color,"text, body, content, reading","Primary text color for body content","--color-text","text-gray-900","#1E293B","#F8FAFC"
7,Color,Text Secondary,"text-secondary, muted, dim, subtle","Secondary text color for less important content","--color-text-secondary","text-gray-500","#64748B","#94A3B8"
8,Color,Border Color,"border, divider, line, separator","Border and divider color","--color-border","border-gray-200","#E2E8F0","#334155"
9,Color,Success Color,"success, positive, green, check, done","Success state color for positive feedback","--color-success","text-green-500 bg-green-500","#22C55E","#4ADE80"
10,Color,Warning Color,"warning, caution, amber, alert, attention","Warning state color for cautionary feedback","--color-warning","text-amber-500 bg-amber-500","#F59E0B","#FBBF24"
11,Color,Error Color,"error, danger, red, negative, destructive","Error state color for negative feedback","--color-error","text-red-500 bg-red-500","#EF4444","#F87171"
12,Color,Info Color,"info, information, blue, neutral","Informational state color","--color-info","text-blue-500 bg-blue-500","#3B82F6","#60A5FA"
13,Spacing,Extra Small,"xs, tight, compact, minimal","4px - Tight gaps between small elements","--space-xs","gap-1 p-1 m-1","4px","4px"
14,Spacing,Small,"sm, small, gap, inline","8px - Icon gaps, inline spacing","--space-sm","gap-2 p-2 m-2","8px","8px"
15,Spacing,Medium,"md, medium, standard, default","16px - Standard padding and spacing","--space-md","gap-4 p-4 m-4","16px","16px"
16,Spacing,Large,"lg, large, section, padding","24px - Section padding, larger gaps","--space-lg","gap-6 p-6 m-6","24px","24px"
17,Spacing,Extra Large,"xl, extra-large, hero, major","32px - Hero padding, major sections","--space-xl","gap-8 p-8 m-8","32px","32px"
18,Spacing,2X Large,"2xl, huge, maximum, massive","48px - Maximum spacing, hero sections","--space-2xl","gap-12 p-12 m-12","48px","48px"
19,Border Radius,Small,"radius, rounded, corner, small","4px - Buttons, inputs, small elements","--radius-sm","rounded-sm","4px","4px"
20,Border Radius,Medium,"radius, rounded, corner, medium","8px - Cards, buttons, standard elements","--radius-md","rounded-lg","8px","8px"
21,Border Radius,Large,"radius, rounded, corner, large","12px - Cards, containers, larger elements","--radius-lg","rounded-xl","12px","12px"
22,Border Radius,Extra Large,"radius, rounded, corner, xl, pill","16px - Modals, large containers","--radius-xl","rounded-2xl","16px","16px"
23,Border Radius,Full,"radius, rounded, circle, pill, full","9999px - Pills, circles, avatars","--radius-full","rounded-full","9999px","9999px"
24,Shadow,Small,"shadow, elevation, lift, subtle","0 1px 2px - Subtle lift for small elements","--shadow-sm","shadow-sm","0 1px 2px rgba(0,0,0,0.05)","0 1px 2px rgba(0,0,0,0.3)"
25,Shadow,Medium,"shadow, elevation, card, button","0 4px 6px - Standard card shadow","--shadow-md","shadow-md","0 4px 6px rgba(0,0,0,0.1)","0 4px 6px rgba(0,0,0,0.4)"
26,Shadow,Large,"shadow, elevation, modal, dropdown","0 10px 15px - Elevated elements","--shadow-lg","shadow-lg","0 10px 15px rgba(0,0,0,0.1)","0 10px 15px rgba(0,0,0,0.4)"
