No,Token Category,Token Name,Keywords,Usage,CSS Variable,Tailwind,Value Light,Value Dark
1,Color,Primary Color,"primary, brand, main, accent, highlight","Main brand color for buttons, links, key UI elements","--color-primary","text-blue-600 bg-blue-600","#2563EB","#3B82F6"
2,Color,Secondary Color,"secondary, supporting, complement","Secondary brand color for supporting elements","--color-secondary","text-blue-400 bg-blue-400","#3B82F6","#60A5FA"
3,Color,CTA Color,"cta, call-to-action, button, convert, accent","Call-to-action color for high-priority buttons","--color-cta","text-orange-500 bg-orange-500","#F97316","#FB923C"
4,Color,Background Color,"background, bg, surface, base","Main background color","--color-bg","bg-white","#FFFFFF","#0F172A"
5,Color,Surface Color,"surface, card, elevated, container","Card and elevated surface background","--color-surface","bg-gray-50","#F8FAFC","#1E293B"
6,Color,Text Color,"text, body, content, reading","Primary text color for body content","--color-text","text-gray-900","#1E293B","#F8FAFC"
7,Color,Text Secondary,"text-secondary, muted, dim, subtle","Secondary text color for less important content","--color-text-secondary","text-gray-500","#64748B","#94A3B8"
8,Color,Border Color,"border, divider, line, separator","Border and divider color","--color-border","border-gray-200","#E2E8F0","#334155"
9,Color,Success Color,"success, positive, green, check, done","Success state color for positive feedback","--color-success","text-green-500 bg-green-500","#22C55E","#4ADE80"
10,Color,Warning Color,"warning, caution, amber, alert, attention","Warning state color for cautionary feedback","--color-warning","text-amber-500 bg-amber-500","#F59E0B","#FBBF24"
11,Color,Error Color,"error, danger, red, negative, destructive","Error state color for negative feedback","--color-error","text-red-500 bg-red-500","#EF4444","#F87171"
12,Color,Info Color,"info, information, blue, neutral","Informational state color","--color-info","text-blue-500 bg-blue-500","#3B82F6","#60A5FA"
13,Color,Accent Purple,"accent, purple, violet, creative","Accent color for creative elements","--color-accent-purple","text-purple-500 bg-purple-500","#8B5CF6","#A78BFA"
14,Color,Accent Pink,"accent, pink, romantic, feminine","Accent color for romantic/feminine elements","--color-accent-pink","text-pink-500 bg-pink-500","#EC4899","#F472B6"
15,Color,Accent Teal,"accent, teal, cyan, fresh","Accent color for fresh/modern elements","--color-accent-teal","text-teal-500 bg-teal-500","#14B8A6","#2DD4BF"
16,Color,Accent Gold,"accent, gold, luxury, premium","Accent color for luxury/premium elements","--color-accent-gold","text-yellow-500 bg-yellow-500","#EAB308","#FACC15"
17,Color,Neon Green,"neon, green, cyberpunk, glow","Neon green for cyberpunk/glow effects","--color-neon-green","text-green-400 bg-green-400","#39FF14","#4ADE80"
18,Color,Neon Blue,"neon, blue, cyberpunk, glow","Neon blue for cyberpunk/glow effects","--color-neon-blue","text-blue-400 bg-blue-400","#0080FF","#60A5FA"
19,Color,Neon Pink,"neon, pink, cyberpunk, glow","Neon pink for cyberpunk/glow effects","--color-neon-pink","text-pink-400 bg-pink-400","#FF1493","#F472B6"
20,Color,Neon Cyan,"neon, cyan, cyberpunk, glow","Neon cyan for cyberpunk/glow effects","--color-neon-cyan","text-cyan-400 bg-cyan-400","#00FFFF","#22D3EE"
21,Spacing,Extra Small,"xs, tight, compact, minimal","4px - Tight gaps between small elements","--space-xs","gap-1 p-1 m-1","4px","4px"
22,Spacing,Small,"sm, small, gap, inline","8px - Icon gaps, inline spacing","--space-sm","gap-2 p-2 m-2","8px","8px"
23,Spacing,Medium,"md, medium, standard, default","16px - Standard padding and spacing","--space-md","gap-4 p-4 m-4","16px","16px"
24,Spacing,Large,"lg, large, section, padding","24px - Section padding, larger gaps","--space-lg","gap-6 p-6 m-6","24px","24px"
25,Spacing,Extra Large,"xl, extra-large, hero, major","32px - Hero padding, major sections","--space-xl","gap-8 p-8 m-8","32px","32px"
