No,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Google Fonts URL,CSS Import,Tailwind Config,Notes
1,Inter + Inter,Sans-Sans,"Inter","Inter","Clean, modern, professional, neutral, versatile","SaaS, dashboards, enterprise, web apps, documentation","https://fonts.google.com/share?selection.family=Inter:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap');","fontFamily: { sans: ['Inter', 'sans-serif'] }","Most versatile pairing. Excellent for data-heavy interfaces. Great readability."
2,Poppins + Inter,Sans-Sans,"Poppins","Inter","Friendly, modern, geometric, approachable, clean","SaaS, startups, landing pages, marketing, B2B","https://fonts.google.com/share?selection.family=Poppins:wght@400;500;600;700|Inter:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Poppins:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Poppins', 'sans-serif'], sans: ['Inter', 'sans-serif'] }","Poppins headings + Inter body. Geometric headings, clean body text."
3,DM Sans + DM Sans,Sans-Sans,"DM Sans","DM Sans","Clean, geometric, modern, minimal, professional","SaaS, dashboards, web apps, mobile apps","https://fonts.google.com/share?selection.family=DM+Sans:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;500;600;700&display=swap');","fontFamily: { sans: ['DM Sans', 'sans-serif'] }","Excellent geometric sans-serif. Very clean and modern."
4,Outfit + Outfit,Sans-Sans,"Outfit","Outfit","Modern, clean, geometric, versatile","SaaS, startups, landing pages, mobile apps","https://fonts.google.com/share?selection.family=Outfit:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Outfit:wght@400;500;600;700&display=swap');","fontFamily: { sans: ['Outfit', 'sans-serif'] }","Modern geometric sans-serif. Great for both headings and body."
5,Space Grotesk + Inter,Sans-Sans,"Space Grotesk","Inter","Tech, modern, geometric, futuristic, clean","Developer tools, tech products, SaaS, AI platforms","https://fonts.google.com/share?selection.family=Space+Grotesk:wght@400;500;600;700|Inter:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Space Grotesk', 'sans-serif'], sans: ['Inter', 'sans-serif'] }","Space Grotesk headings for tech feel. Inter body for readability."
6,Sora + Inter,Sans-Sans,"Sora","Inter","Modern, futuristic, geometric, clean","AI platforms, tech products, SaaS, futuristic brands","https://fonts.google.com/share?selection.family=Sora:wght@400;500;600;700|Inter:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Sora:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Sora', 'sans-serif'], sans: ['Inter', 'sans-serif'] }","Sora for futuristic headings. Great for AI/tech products."
7,Manrope + Manrope,Sans-Sans,"Manrope","Manrope","Geometric, clean, modern, professional","SaaS, dashboards, enterprise, mobile apps","https://fonts.google.com/share?selection.family=Manrope:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Manrope:wght@400;500;600;700&display=swap');","fontFamily: { sans: ['Manrope', 'sans-serif'] }","Excellent geometric sans-serif. Very clean and professional."
8,Plus Jakarta Sans + Plus Jakarta Sans,Sans-Sans,"Plus Jakarta Sans","Plus Jakarta Sans","Modern, geometric, clean, professional","SaaS, dashboards, landing pages, web apps","https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700&display=swap');","fontFamily: { sans: ['Plus Jakarta Sans', 'sans-serif'] }","Modern geometric. Great for SaaS and dashboards."
9,Cormorant Garamond + Montserrat,Serif-Sans,"Cormorant Garamond","Montserrat","Elegant, calming, sophisticated, luxury","Wellness, beauty, luxury, editorial, premium services","https://fonts.google.com/share?selection.family=Cormorant+Garamond:wght@400;500;600;700|Montserrat:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Cormorant+Garamond:wght@400;500;600;700&family=Montserrat:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Cormorant Garamond', 'serif'], sans: ['Montserrat', 'sans-serif'] }","Elegant serif headings + clean sans body. Perfect for luxury brands."
10,Playfair Display + Lato,Serif-Sans,"Playfair Display","Lato","Elegant, classic, sophisticated, editorial","Editorial, luxury brands, fashion, premium services","https://fonts.google.com/share?selection.family=Playfair+Display:wght@400;500;600;700|Lato:wght@400;300;700","@import url('https://fonts.googleapis.com/css2?family=Playfair+Display:wght@400;500;600;700&family=Lato:wght@400;300;700&display=swap');","fontFamily: { heading: ['Playfair Display', 'serif'], sans: ['Lato', 'sans-serif'] }","Classic serif headings + clean sans body. Elegant and timeless."
