No,Background Name,Category,Keywords,CSS Code,Tailwind,Best For,Performance,Accessibility
1,Gradient Mesh,Gradient,"mesh, gradient, organic, fluid, abstract, modern",".gradient-mesh { background: radial-gradient(at 40% 20%, hsla(28,100%,74%,1) 0px, transparent 50%), radial-gradient(at 80% 0%, hsla(189,100%,56%,1) 0px, transparent 50%), radial-gradient(at 0% 50%, hsla(355,100%,93%,1) 0px, transparent 50%), radial-gradient(at 80% 50%, hsla(340,100%,76%,1) 0px, transparent 50%), radial-gradient(at 0% 100%, hsla(22,100%,77%,1) 0px, transparent 50%), radial-gradient(at 80% 100%, hsla(242,100%,70%,1) 0px, transparent 50%); background-color: hsla(0,0%,100%,1); }","bg-[radial-gradient(at_40%_20%,hsla(28,100%,74%,1)_0px,transparent_50%),radial-gradient(at_80%_0%,hsla(189,100%,56%,1)_0px,transparent_50%),radial-gradient(at_0%_50%,hsla(355,100%,93%,1)_0px,transparent_50%)]","Hero sections, creative agencies, premium brands",Good - CSS only,Yes
2,Aurora Gradient,Gradient,"aurora, northern lights, flowing, ethereal, dreamy",".aurora { background: linear-gradient(135deg, #667eea 0%, #764ba2 100%); background-size: 400% 400%; animation: aurora 15s ease infinite; } @keyframes aurora { 0% { background-position: 0% 50%; } 50% { background-position: 100% 50%; } 100% { background-position: 0% 50%; } }","bg-gradient-to-br from-indigo-500 to-purple-600 bg-[length:400%_400%] animate-[aurora_15s_ease_infinite]","Hero sections, creative, premium, SaaS",Good - CSS animation,Yes
3,Neon Glow Gradient,Gradient,"neon, glow, cyberpunk, futuristic, vibrant",".neon-gradient { background: linear-gradient(135deg, #0f0c29, #302b63, #24243e); position: relative; } .neon-gradient::before { content: ''; position: absolute; inset: 0; background: radial-gradient(circle at 50% 50%, rgba(0,255,136,0.3), transparent 60%), radial-gradient(circle at 80% 20%, rgba(0,128,255,0.3), transparent 60%); animation: neonPulse 4s ease-in-out infinite; } @keyframes neonPulse { 0%, 100% { opacity: 0.5; } 50% { opacity: 1; } }","bg-gradient-to-br from-[#0f0c29] via-[#302b63] to-[#24243e]","Gaming, cyberpunk, crypto, tech",Medium - requires pseudo-element,Yes - with proper contrast
4,Sunset Gradient,Gradient,"sunset, warm, orange, pink, golden hour",".sunset { background: linear-gradient(135deg, #fa709a 0%, #fee140 100%); }","bg-gradient-to-br from-pink-400 to-yellow-300","Landing pages, creative, food, travel",Excellent - simple,Yes - check contrast
5,Ocean Gradient,Gradient,"ocean, water, blue, teal, calm, soothing",".ocean { background: linear-gradient(135deg, #667eea 0%, #764ba2 100%); }","bg-gradient-to-br from-blue-500 to-purple-600","SaaS, healthcare, wellness, tech",Excellent - simple,Yes
6,Forest Gradient,Gradient,"forest, nature, green, earth, organic",".forest { background: linear-gradient(135deg, #11998e 0%, #38ef7d 100%); }","bg-gradient-to-br from-teal-500 to-green-400","Eco, nature, wellness, sustainable",Excellent - simple,Yes
7,Cosmic Gradient,Gradient,"cosmic, space, galaxy, stars, deep",".cosmic { background: linear-gradient(135deg, #0c0c1d 0%, #1a1a2e 25%, #16213e 50%, #0f3460 75%, #533483 100%); }","bg-gradient-to-br from-[#0c0c1d] via-[#1a1a2e] to-[#533483]","Gaming, crypto, sci-fi, premium",Good - multi-stop,Yes
8,Fire Gradient,Gradient,"fire, warm, orange, red, energetic",".fire { background: linear-gradient(135deg, #f12711 0%, #f5af19 100%); }","bg-gradient-to-br from-orange-600 to-yellow-400","Food, restaurants, energetic brands",Excellent - simple,Yes
9,Ice Gradient,Gradient,"ice, cold, blue, crystal, frosty",".ice { background: linear-gradient(135deg, #e0eafc 0%, #cfdef3 100%); }","bg-gradient-to-br from-blue-100 to-blue-200","Healthcare, tech, clean, minimal",Excellent - simple,Yes
10,Lavender Gradient,Gradient,"lavender, purple, soft, calm, elegant",".lavender { background: linear-gradient(135deg, #a8edea 0%, #fed6e3 100%); }","bg-gradient-to-br from-teal-200 to-pink-200","Wellness, beauty, luxury, creative",Excellent - simple,Yes
