No,Component,Category,Keywords,Variants,CSS/Code,Tailwind,Accessibility,Best For
1,Button,Form Element,"button, click, action, submit, primary, secondary, ghost, outline","Primary, Secondary, Ghost, Outline, Danger, Success, Icon, Loading",".btn { padding: 12px 24px; border-radius: 8px; font-weight: 600; cursor: pointer; transition: all 200ms ease; } .btn-primary { background: var(--color-cta); color: white; } .btn:hover { opacity: 0.9; transform: translateY(-1px); }","rounded-lg px-6 py-3 font-semibold transition-all duration-200 hover:translate-y-[-1px]","cursor-pointer, aria-label for icon buttons, loading state aria-busy","All UIs - most common interactive element"
2,Card,Layout,"card, container, box, panel, content, container","Elevated, Outlined, Filled, Glass, Interactive, Stat",".card { background: white; border-radius: 12px; padding: 24px; box-shadow: var(--shadow-md); transition: all 200ms ease; } .card:hover { box-shadow: var(--shadow-lg); transform: translateY(-2px); }","rounded-xl p-6 shadow-md transition-all duration-200 hover:shadow-lg hover:translate-y-[-2px]","role=article for content cards, aria-label for interactive cards","Dashboards, content display, product listings, features"
3,Input,Form Element,"input, text, field, form, entry, type, textarea","Text, Email, Password, Number, Search, Textarea, Phone, URL, Date",".input { padding: 12px 16px; border: 1px solid var(--color-border); border-radius: 8px; font-size: 16px; transition: border-color 200ms; } .input:focus { border-color: var(--color-primary); outline: none; box-shadow: 0 0 0 3px var(--color-primary)20; }","rounded-lg px-4 py-3 border border-gray-200 focus:border-blue-500 focus:ring-2 focus:ring-blue-500/20 outline-none transition-all duration-200","aria-label, aria-required, aria-invalid for error, aria-describedby for help text","Forms, search, data entry"
4,Modal/Dialog,Overlay,"modal, dialog, popup, overlay, lightbox, fullscreen, popup","Center, Fullscreen, Bottom Sheet, Drawer, Alert",".modal-overlay { background: rgba(0,0,0,0.5); backdrop-filter: blur(4px); } .modal { background: white; border-radius: 16px; padding: 32px; max-width: 500px; width: 90%; }","fixed inset-0 bg-black/50 backdrop-blur-sm flex items-center justify-center z-50","role=dialog, aria-modal=true, aria-labelledby, focus trap, escape to close","Confirmations, forms, notifications, detailed views"
5,Navbar/Navigation,Navigation,"navbar, navigation, header, menu, nav, top, bar","Fixed, Sticky, Transparent, Glass, Sidebar, Bottom",".navbar { position: sticky; top: 0; background: rgba(255,255,255,0.9); backdrop-filter: blur(10px); z-index: 40; }","sticky top-0 z-40 bg-white/90 backdrop-blur-md border-b border-gray-100","role=navigation, aria-label, skip navigation link, focus visible","All multi-page websites and apps"
6,Table/Data Grid,Data Display,"table, grid, data, list, rows, columns, sortable, filter","Default, Striped, Compact, Hoverable, Sortable, Selectable",".table { width: 100%; border-collapse: collapse; } .table th { text-align: left; padding: 12px; font-weight: 600; } .table td { padding: 12px; border-bottom: 1px solid var(--color-border); }","w-full border-collapse [&_th]:text-left [&_th]:p-3 [&_td]:p-3 [&_tr]:border-b","role=table, role=row, role=cell, sortable columns aria-sort, keyboard navigation","Data-heavy apps, dashboards, admin panels"
7,Toast/Snackbar,Feedback,"toast, notification, snackbar, alert, message, feedback, banner","Success, Error, Warning, Info, Action",".toast { position: fixed; bottom: 24px; right: 24px; padding: 16px 24px; border-radius: 12px; box-shadow: var(--shadow-lg); animation: slideIn 300ms ease; }","fixed bottom-6 right-6 px-6 py-4 rounded-xl shadow-lg animate-slide-in","role=alert, aria-live=polite, auto-dismiss with timer","Success/error messages, notifications, confirmations"
8,Dropdown/Select,Navigation,"dropdown, select, menu, picker, option, choices","Default, Searchable, Multi-select, Custom",".dropdown { position: absolute; top: 100%; left: 0; background: white; border-radius: 12px; box-shadow: var(--shadow-lg); min-width: 200px; z-index: 50; }","absolute top-full left-0 bg-white rounded-xl shadow-lg min-w-[200px] z-50","role=listbox, role=option, aria-selected, keyboard navigation, arrow keys","Forms, filters, navigation menus"
9,Tabs,Navigation,"tabs, tab, navigation, switch, panel, view","Underline, Pill, Enclosed, Icons, Scrollable",".tabs { display: flex; gap: 4px; border-bottom: 2px solid var(--color-border); } .tab { padding: 12px 24px; cursor: pointer; border-bottom: 2px solid transparent; transition: all 200ms; } .tab.active { border-bottom-color: var(--color-primary); }","flex gap-1 border-b-2 border-gray-200","role=tablist, role=tab, role=tabpanel, aria-selected, keyboard navigation","Settings, forms, content organization"
10,Avatar/User Image,Display,"avatar, user, profile, image, photo, icon, person","Circle, Square, Group, Badge, Status, Placeholder",".avatar { width: 40px; height: 40px; border-radius: 50%; object-fit: cover; } .avatar-placeholder { display: flex; align-items: center; justify-content: center; background: var(--color-primary); color: white; border-radius: 50%; }","w-10 h-10 rounded-full object-cover","alt text, aria-label with user name, role=img","User profiles, comments, team displays"
