No,Data Type,Keywords,Best Chart Type,Secondary Options,Color Guidance,Accessibility Notes,Library Recommendation,Interactive Level
1,Trend/Time Series,"trend, time, line, temporal, history, change, growth",Line Chart,"Area Chart, Sparkline","Use distinct colors for each line. Minimum 3:1 contrast ratio for colorblind users.","Label axes clearly. Provide data table fallback. Use patterns/textures for colorblind.","Recharts 9/10, Chart.js 9/10, D3.js 10/10",High - hover tooltips
2,Comparison,"compare, comparison, side-by-side, benchmark, versus, diff",Bar Chart,"Grouped Bar, Stacked Bar, Butterfly","Use consistent colors for same categories. High contrast for different groups.","Label bars directly when possible. Avoid more than 6 categories.","Recharts 9/10, Chart.js 9/10, D3.js 10/10",Medium - click for details
3,Composition/Part,"part, composition, percentage, share, breakdown, proportion, composition",Pie Chart,"Donut Chart, Treemap, Stacked Bar","Use sequential colors for ordered data. Maximum 6 slices in pie chart.","Label slices directly or with leader lines. Provide data table.","Recharts 8/10, Chart.js 9/10, D3.js 10/10",Low - hover tooltips
4,Distribution,"distribution, spread, histogram, frequency, range, density",Histogram,"Box Plot, Violin Plot, Density Plot","Use sequential colors from light to dark. Highlight outliers.","Label axes clearly. Show bin ranges. Provide statistics summary.","Recharts 7/10, D3.js 10/10",Medium - hover for details
5,Correlation,"correlation, relationship, scatter, cluster, association, pattern",Scatter Plot,"Bubble Chart, Heat Map","Use color to encode third variable. Size for fourth variable.","Label points on hover. Show correlation coefficient.","Recharts 8/10, D3.js 10/10",High - hover, zoom, brush
6,Funnel/Conversion,"funnel, conversion, pipeline, stages, drop-off, flow, stages",Funnel Chart,"Sankey Diagram, Waterfall","Use sequential colors from top to bottom. Highlight drop-off stages.","Label each stage with count and percentage. Show conversion rate.","Recharts 7/10, D3.js 9/10",Medium - click stages
7,Geographic/Map,"geo, map, location, region, heatmap, geographic, location",Choropleth Map,"Bubble Map, Flow Map","Use sequential color scale for density. Divergent for +/- values.","Provide alternative table view. Colorblind-safe palette.","D3.js 10/10, Leaflet 9/10",High - hover, zoom, filter
8,Hierarchy/Tree,"hierarchy, tree, parent, child, org, structure, hierarchy",Treemap,"Sunburst, Dendrogram, Indent Tree","Use color to encode category. Size to encode value.","Label nodes with names. Provide collapse/expand.","D3.js 10/10",High - click to drill down
9,Flow/Sankey,"flow, sankey, transfer, migration, movement, flow",Sankey Diagram,"Alluvial Diagram, Chord Diagram","Use consistent colors for same flows. Opacity for flow volume.","Label nodes and flows. Show values on hover.","D3.js 10/10",High - hover, highlight flows
10,Network/Graph,"network, graph, relationship, connection, node, edge",Force-Directed Graph,"Adjacency Matrix, Arc Diagram","Use color for node groups. Size for importance. Thickness for connection strength.","Label important nodes. Provide alternative list view.","D3.js 10/10, vis.js 8/10",High - drag, zoom, filter
11,KPI/Metric,"kpi, metric, number, indicator, score, performance",Big Number/KPI Card,"Sparkline, Progress Bar, Gauge","Use semantic colors: green positive, red negative, amber neutral.","Include trend arrow and comparison period. Clear labeling.","Custom CSS, Recharts 7/10",Low - click for details
12,Gauge/Progress,"gauge, progress, completion, target, goal, achievement",Gauge Chart,"Progress Bar, Donut Progress, Radial Progress","Use semantic colors: green (complete), amber (in progress), red (behind).","Show current value and target. Label clearly.","Recharts 7/10, D3.js 8/10",Low - hover for details
13,Radar/Spider,"radar, spider, comparison, multi-axis, profile, assessment",Radar Chart,"Parallel Coordinates, Spider Plot","Use distinct colors for each axis. Fill with semi-transparent color.","Label axes clearly. Show values on hover.","Recharts 8/10, Chart.js 8/10",Medium - hover for values
14,Waterfall,"waterfall, cascade, bridge, breakdown, contribution",Waterfall Chart,"Gantt Chart, Bridge Chart","Use green for positive, red for negative. Blue for totals.","Label each segment with value. Show running total.","Recharts 7/10, D3.js 9/10",Medium - hover for details
15,Candlestick/OHLC,"candlestick, stock, trading, ohlc, financial, market",Candlestick Chart,"Line Chart with Volume, Heikin Ashi","Green for up, red for down. Volume bars in neutral color.","Show open, high, low, close values on hover.","D3.js 10/10, Lightweight Charts 10/10",High - hover, crosshair
16,Calendar/Heatmap,"calendar, heatmap, daily, weekly, monthly, schedule",Calendar Heatmap,"GitHub-style Contribution Graph, Seasonal Pattern","Use sequential colors from light to dark. Green for activity.","Show date and value on hover. Provide month/week labels.","D3.js 9/10, GitHub Calendar 8/10",Medium - hover for details
17,Error/Uncertainty,"error, uncertainty, confidence, margin, range, error bar",Error Bar Chart,"Confidence Interval, Box Plot, Fan Chart","Use semi-transparent bands for confidence intervals.","Show confidence level (e.g., 95% CI). Label clearly.","D3.js 10/10, Recharts 7/10",Low - hover for details
18,Real-Time/Streaming,"real-time, live, streaming, update, monitor, realtime",Live Line Chart,"Streaming Bar, Live Gauges, Real-time Scatter","Use animation for smooth updates. Limit data points for performance.","Show last update time. Provide pause/resume control.","D3.js 10/10, Chart.js 8/10, WebSocket integration",High - real-time updates
19,Multivariate,"multivariate, multi-variable, parallel, complex",Parallel Coordinates,"Dimensionality Reduction (PCA/t-SNE), Andrews Curves","Use color for cluster/group. Brush axes for filtering.","Label axes. Provide brushing for selection.","D3.js 10/10",High - brush, filter, highlight
20,Nominal/Categorical,"nominal, categorical, category, discrete, type",Bar Chart,"Horizontal Bar, Lollipop Chart, Waffle Chart","Use distinct colors for each category. Maximum 8 categories.","Label categories clearly. Sort by value when possible.","Recharts 9/10, Chart.js 9/10",Medium - hover, sort
