No,Pattern,Category,Keywords,Breakpoints,CSS,Tailwind,Best For
1,Mobile-First,Responsive,"mobile, phone, responsive, first, progressive, enhance","375px (sm), 768px (md), 1024px (lg), 1440px (xl)","/* Mobile first */ .container { padding: 16px; } @media (min-width: 768px) { .container { padding: 24px; } } @media (min-width: 1024px) { .container { padding: 32px; } }","p-4 md:p-6 lg:p-8","All modern websites and apps"
2,Responsive Grid,Layout,"grid, columns, responsive, layout, flexible","375px: 1col, 768px: 2col, 1024px: 3-4col, 1440px: 4-6col",".grid { display: grid; grid-template-columns: 1fr; gap: 16px; } @media (min-width: 768px) { .grid { grid-template-columns: repeat(2, 1fr); gap: 24px; } } @media (min-width: 1024px) { .grid { grid-template-columns: repeat(3, 1fr); } }","grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-4 md:gap-6","Card layouts, product grids, feature sections"
3,Responsive Typography,Typography,"font, size, clamp, fluid, type, scale","clamp(1rem, 2.5vw, 2.5rem)","h1 { font-size: clamp(1.5rem, 4vw, 3rem); line-height: 1.2; } h2 { font-size: clamp(1.25rem, 3vw, 2rem); } p { font-size: clamp(0.875rem, 1.5vw, 1rem); }","text-[clamp(1.5rem,4vw,3rem)] leading-tight","All responsive websites"
4,Sticky Header,Navigation,"sticky, header, navbar, fixed, scroll, top","All breakpoints",".header { position: sticky; top: 0; z-index: 40; background: rgba(255,255,255,0.9); backdrop-filter: blur(10px); }","sticky top-0 z-40 bg-white/90 backdrop-blur-md","All multi-page websites"
5,Sidebar + Main,Layout,"sidebar, main, split, panel, navigation, content","375px: stacked, 1024px: side-by-side",".layout { display: flex; flex-direction: column; } @media (min-width: 1024px) { .layout { flex-direction: row; } .sidebar { width: 240px; flex-shrink: 0; } .main { flex: 1; } }","flex flex-col lg:flex-row","Dashboards, admin panels, documentation"
6,Card Grid Masonry,Layout,"masonry, grid, cards, pinterest, layout","375px: 1col, 768px: 2col, 1024px: 3-4col",".masonry { columns: 1; column-gap: 16px; } @media (min-width: 768px) { .masonry { columns: 2; } } @media (min-width: 1024px) { .masonry { columns: 3; } } .masonry-item { break-inside: avoid; margin-bottom: 16px; }","columns-1 md:columns-2 lg:columns-3 gap-4 [&>div]:break-inside-avoid","Portfolios, image galleries, blog feeds"
7,Container Queries,Modern,"container, query, responsive, component, adaptive","@container (min-width: 400px)",".card { container-type: inline-size; } @container (min-width: 400px) { .card-content { display: flex; gap: 16px; } }","[container-type:inline-size]","Component-level responsive design"
8,Responsive Table,Data Display,"table, responsive, horizontal, scroll, card","375px: card view, 1024px: table view",".table-wrapper { overflow-x: auto; -webkit-overflow-scrolling: touch; } @media (max-width: 768px) { .table { display: block; } .table-row { display: flex; flex-direction: column; } }","overflow-x-auto","Data-heavy apps, dashboards"
9,Responsive Image,Media,"image, responsive, srcset, sizes, picture, lazy","375px: small, 768px: medium, 1440px: large","img { width: 100%; height: auto; object-fit: cover; } <picture> <source media='(max-width: 768px)' srcset='small.webp'> <source media='(min-width: 769px)' srcset='large.webp'> </picture>","w-full h-auto object-cover","All image-heavy websites"
10,Flexible Spacing,Layout,"spacing, padding, margin, gap, responsive, consistent","375px: 16px, 768px: 24px, 1024px: 32px, 1440px: 48px",".section { padding: 4rem 1rem; } @media (min-width: 768px) { .section { padding: 6rem 2rem; } } @media (min-width: 1024px) { .section { padding: 8rem 3rem; } }","p-16 px-4 md:px-8 lg:px-12","Section spacing, hero sections, content blocks"
11,Responsive Navigation,Navigation,"nav, responsive, hamburger, menu, mobile, desktop","375px: hamburger, 1024px: inline",".nav-links { display: none; } @media (min-width: 1024px) { .nav-links { display: flex; gap: 24px; } } .hamburger { display: block; } @media (min-width: 1024px) { .hamburger { display: none; } }","hidden lg:flex","All responsive websites"
12,Responsive Hero,Layout,"hero, responsive, section, full-width, viewport","375px: stacked, 1024px: side-by-side",".hero { min-height: 100vh; display: flex; flex-direction: column; justify-content: center; padding: 2rem; } @media (min-width: 1024px) { .hero { flex-direction: row; align-items: center; } }","min-h-screen flex flex-col justify-center lg:flex-row lg:items-center","Landing pages, marketing sites"
13,Responsive Footer,Layout,"footer, responsive, columns, grid","375px: stacked, 768px: 2col, 1024px: 4col",".footer { display: grid; grid-template-columns: 1fr; gap: 2rem; } @media (min-width: 768px) { .footer { grid-template-columns: repeat(2, 1fr); } } @media (min-width: 1024px) { .footer { grid-template-columns: repeat(4, 1fr); } }","grid grid-cols-1 md:grid-cols-2 lg:grid-cols-4 gap-8","All multi-page websites"
14,Touch-Friendly Targets,Mobile,"touch, target, tap, mobile, finger, 44px","All breakpoints","button, a, input, select, textarea { min-height: 44px; min-width: 44px; } @media (hover: hover) { /* Desktop hover effects */ }","min-h-[44px] min-w-[44px]","All mobile-friendly websites"
15,Responsive Modal,Overlay,"modal, responsive, dialog, mobile, fullscreen","375px: fullscreen, 1024px: centered",".modal { position: fixed; inset: 0; background: white; z-index: 50; } @media (min-width: 768px) { .modal { position: fixed; top: 50%; left: 50%; transform: translate(-50%, -50%); width: 90%; max-width: 500px; border-radius: 16px; } }","fixed inset-0 bg-white z-50 md:top-1/2 md:left-1/2 md:-translate-x-1/2 md:-translate-y-1/2 md:w-[90%] md:max-w-[500px] md:rounded-2xl","Forms, confirmations, details"
