No,Animation,Category,Keywords,CSS Code,Duration,Easing,GPU Friendly,Reduced Motion,Best For
1,Hover Lift,Interaction,"hover, lift, elevate, card, button, feedback",".hover-lift { transition: transform 200ms ease, box-shadow 200ms ease; } .hover-lift:hover { transform: translateY(-4px); box-shadow: var(--shadow-lg); }","200ms","ease","Yes - transform only","Fallback: no transform","Cards, buttons, interactive elements"
2,Fade In,Entrance,"fade, appear, enter, reveal, opacity",".fade-in { animation: fadeIn 300ms ease forwards; } @keyframes fadeIn { from { opacity: 0; } to { opacity: 1; } }","300ms","ease","Yes - opacity only","Fallback: display:none→block","Content loading, modals, overlays"
3,Slide Up,Entrance,"slide, up, reveal, scroll, entrance, enter",".slide-up { animation: slideUp 400ms ease forwards; } @keyframes slideUp { from { opacity: 0; transform: translateY(20px); } to { opacity: 1; transform: translateY(0); } }","400ms","ease","Yes - transform","Fallback: transform:none","Sections, cards, scroll reveals"
4,Slide In Right,Entrance,"slide, right, enter, reveal, drawer",".slide-in-right { animation: slideInRight 300ms ease forwards; } @keyframes slideInRight { from { transform: translateX(100%); } to { transform: translateX(0); } }","300ms","ease","Yes - transform","Fallback: transform:none","Drawers, sidebars, navigation panels"
5,Scale Pop,Interaction,"scale, pop, grow, expand, button, click",".scale-pop { transition: transform 200ms cubic-bezier(0.34, 1.56, 0.64, 1); } .scale-pop:hover { transform: scale(1.05); }","200ms","cubic-bezier(0.34, 1.56, 0.64, 1)","Yes - transform","Fallback: no transform","Buttons, interactive elements, CTAs"
6,Pulse,Feedback,"pulse, attention, notify, alert, badge",".pulse { animation: pulse 2s infinite; } @keyframes pulse { 0%, 100% { opacity: 1; } 50% { opacity: 0.5; } }","2s","ease-in-out","Yes - opacity","Fallback: static","Notifications, alerts, badges, live indicators"
7,Spin,Loading,"spin, rotate, loading, spinner, refresh",".spin { animation: spin 0.8s linear infinite; } @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } }","0.8s","linear","Yes - transform","Fallback: static spinner","Loading states, refresh buttons"
8,Bounce,Playful,"bounce, jump, playful, fun, celebration",".bounce { animation: bounce 0.5s ease; } @keyframes bounce { 0%, 100% { transform: translateY(0); } 50% { transform: translateY(-10px); } }","500ms","ease","Yes - transform","Fallback: no animation","Success states, playful UI, celebrations"
9,Shimmer,Loading,"shimmer, skeleton, placeholder, loading, pulse",".shimmer { background: linear-gradient(90deg, #f0f0f0 25%, #e0e0e0 50%, #f0f0f0 75%); background-size: 200% 100%; animation: shimmer 1.5s infinite; } @keyframes shimmer { from { background-position: 200% 0; } to { background-position: -200% 0; } }","1.5s","linear","Yes - background-position","Fallback: static background","Skeleton loaders, content placeholders"
10,Scroll Reveal,Entrance,"scroll, reveal, enter, intersection, observer",".scroll-reveal { opacity: 0; transform: translateY(20px); transition: opacity 0.6s ease, transform 0.6s ease; } .scroll-reveal.visible { opacity: 1; transform: translateY(0); }","600ms","ease","Yes - transform+opacity","Fallback: always visible","Sections, cards, features, content blocks"
11,Parallax,Scroll,"parallax, scroll, depth, layers, movement",".parallax { will-change: transform; transform: translateZ(0); } Use JS: element.style.transform = `translateY(${scrollY * speed}px)`;","Variable","linear","Yes - transform (will-change)","Fallback: no parallax","Hero sections, backgrounds, depth effects"
12,Gradient Flow,Background,"gradient, flow, aurora, mesh, animated, background",".gradient-flow { background: linear-gradient(135deg, #667eea 0%, #764ba2 100%); background-size: 200% 200%; animation: gradientFlow 8s ease infinite; } @keyframes gradientFlow { 0% { background-position: 0% 50%; } 50% { background-position: 100% 50%; } 100% { background-position: 0% 50%; } }","8s","ease","Yes - background-position","Fallback: static gradient","Hero backgrounds, aurora effects, creative sections"
13,Glow Pulse,Interactive,"glow, pulse, neon, cyber, attention",".glow-pulse { box-shadow: 0 0 20px var(--glow-color); animation: glowPulse 2s ease-in-out infinite; } @keyframes glowPulse { 0%, 100% { box-shadow: 0 0 20px var(--glow-color); } 50% { box-shadow: 0 0 40px var(--glow-color); } }","2s","ease-in-out","Yes - box-shadow","Fallback: no glow","Cyberpunk UI, neon effects, CTAs"
14,Typing Effect,Content,"typing, text, cursor, typewriter, streaming",".typing { overflow: hidden; border-right: 2px solid var(--color-primary); white-space: nowrap; animation: typing 3s steps(40) forwards, blinkCursor 0.75s step-end infinite; } @keyframes typing { from { width: 0; } to { width: 100%; } } @keyframes blinkCursor { from, to { border-color: transparent; } 50% { border-color: var(--color-primary); } }","3s","steps(40)","Yes - width","Fallback: text always visible","Hero headlines, AI chat, code displays"
15,Fold/Unfold,Layout,"fold, unfold, expand, collapse, accordion",".fold { max-height: 0; overflow: hidden; transition: max-height 300ms ease; } .fold.open { max-height: 1000px; }","300ms","ease","Yes - max-height","Fallback: display:none/block","Accordions, collapsible sections, FAQs"
16,Card Flip,Interaction,"flip, rotate, 3d, transform, reveal, back",".card-flip { perspective: 1000px; } .card-flip-inner { transition: transform 0.6s; transform-style: preserve-3d; } .card-flip.flipped .card-flip-inner { transform: rotateY(180deg); }","600ms","ease","Yes - transform","Fallback: show front only","Product cards, interactive reveals, 3D effects"
17,Stagger Children,Entrance,"stagger, children, list, sequence, cascade",".stagger-child { opacity: 0; transform: translateY(10px); animation: fadeInUp 0.3s ease forwards; } .stagger-child:nth-child(1) { animation-delay: 0.05s; } .stagger-child:nth-child(2) { animation-delay: 0.1s; } .stagger-child:nth-child(3) { animation-delay: 0.15s; }","300ms per child","ease","Yes - transform+opacity","Fallback: all appear at once","Lists, grids, navigation menus"
18,Ripple Click,Interaction,"ripple, click, material, touch, feedback",".ripple { position: relative; overflow: hidden; } .ripple-effect { position: absolute; border-radius: 50%; background: rgba(255,255,255,0.3); transform: scale(0); animation: ripple 0.6s linear; } @keyframes ripple { to { transform: scale(4); opacity: 0; } }","600ms","linear","Yes - transform+opacity","Fallback: no ripple","Buttons, cards, Material Design UI"
19,Morph Shape,Advanced,"morph, shape, svg, transition, fluid",".morph { transition: d 0.4s ease, fill 0.4s ease; } Use CSS clip-path: polygon() or SVG path morphing.","400ms","ease","Yes - clip-path/path","Fallback: static shape","Premium UI, liquid effects, creative sections"
20,Floating Elements,Decorative,"float, bob, gentle, ambient, decorative",".float { animation: float 3s ease-in-out infinite; } @keyframes float { 0%, 100% { transform: translateY(0); } 50% { transform: translateY(-10px); } }","3s","ease-in-out","Yes - transform","Fallback: static","Decorative elements, ambient motion, hero accents"
21,Glitch Effect,Cyberpunk,"glitch, cyberpunk, distortion, error, tech",".glitch { position: relative; } .glitch::before, .glitch::after { content: attr(data-text); position: absolute; top: 0; left: 0; width: 100%; height: 100%; } .glitch::before { animation: glitch-1 2s infinite linear alternate-reverse; clip-path: polygon(0 0, 100% 0, 100% 45%, 0 45%); } .glitch::after { animation: glitch-2 2s infinite linear alternate-reverse; clip-path: polygon(0 60%, 100% 60%, 100% 100%, 0 100%); } @keyframes glitch-1 { 0% { transform: translate(0); } 20% { transform: translate(-3px, 3px); } 40% { transform: translate(-3px, -3px); } 60% { transform: translate(3px, 3px); } 80% { transform: translate(3px, -3px); } 100% { transform: translate(0); } } @keyframes glitch-2 { 0% { transform: translate(0); } 20% { transform: translate(3px, -3px); } 40% { transform: translate(3px, 3px); } 60% { transform: translate(-3px, -3px); } 80% { transform: translate(-3px, 3px); } 100% { transform: translate(0); } }","2s","linear","Yes - transform","Fallback: no glitch","Cyberpunk UI, gaming, tech, error states"
22,Neon Glow,Cyberpunk,"neon, glow, cyberpunk, futuristic, light",".neon-text { color: #fff; text-shadow: 0 0 7px #fff, 0 0 10px #fff, 0 0 21px #fff, 0 0 42px #0fa, 0 0 82px #0fa, 0 0 92px #0fa, 0 0 102px #0fa, 0 0 151px #0fa; } .neon-box { box-shadow: 0 0 5px #fff, 0 0 10px #fff, 0 0 20px #0fa, 0 0 40px #0fa, 0 0 80px #0fa; }","Instant (CSS only)","none","Yes - text-shadow/box-shadow","Fallback: no glow","Cyberpunk UI, neon signs, futuristic elements"
23,Wave Animation,Decorative,"wave, ocean, water, fluid, decorative, background",".wave { position: relative; } .wave::after { content: ''; position: absolute; bottom: 0; left: 0; width: 200%; height: 100px; background: url('data:image/svg+xml;utf8,<svg xmlns=\"http://www.w3.org/2000/svg\" viewBox=\"0 0 1440 320\"><path fill=\"%23fff\" d=\"M0,192L48,197.3C96,203,192,213,288,229.3C384,245,480,267,576,250.7C672,235,768,181,864,181.3C960,181,1056,235,1152,234.7C1248,235,1344,181,1392,154.7L1440,128L1440,320L1392,320C1344,320,1248,320,1152,320C1056,320,960,320,864,320C768,320,672,320,576,320C480,320,384,320,288,320C192,320,96,320,48,320L0,320Z\"></path></svg>') repeat-x; animation: wave 7s linear infinite; } @keyframes wave { 0% { transform: translateX(0); } 100% { transform: translateX(-50%); } }","7s","linear","Yes - transform","Fallback: static SVG","Section dividers, decorative backgrounds, water themes"
24,Count Up,Numbers,"count, number, counter, statistic, metric, data",".count-up { font-variant-numeric: tabular-nums; } Use JS: let start = 0; const end = 1000; const duration = 2000; const increment = end / (duration / 16); const timer = setInterval(() => { start += increment; if (start >= end) { clearInterval(timer); element.textContent = end; } else { element.textContent = Math.floor(start); } }, 16);","2000ms","ease-out","Yes - JS calculation","Fallback: static number","Statistics, metrics, dashboards, landing pages"
25,Smooth Scroll,Navigation,"smooth, scroll, navigation, anchor, link","html { scroll-behavior: smooth; } /* Or JS */ document.querySelector('target').scrollIntoView({ behavior: 'smooth', block: 'start' });","300-500ms","smooth","Yes - native scroll","Fallback: instant scroll","Anchor links, navigation, smooth page transitions"
26,3D Rotate,Advanced,"3d, rotate, perspective, card, interactive, depth",".rotate-3d { perspective: 1000px; } .rotate-3d-inner { transition: transform 0.6s; transform-style: preserve-3d; } .rotate-3d:hover .rotate-3d-inner { transform: rotateY(15deg) rotateX(5deg); }","600ms","ease","Yes - transform","Fallback: no 3D","Product cards, interactive showcases, 3D effects"
27,Magnetic Hover,Advanced,"magnetic, hover, interactive, cursor, attraction",".magnetic { transition: transform 0.3s cubic-bezier(0.25, 0.46, 0.45, 0.94); } /* JS */ element.addEventListener('mousemove', (e) => { const rect = element.getBoundingClientRect(); const x = e.clientX - rect.left - rect.width / 2; const y = e.clientY - rect.top - rect.height / 2; element.style.transform = `translate(${x * 0.3}px, ${y * 0.3}px)`; }); element.addEventListener('mouseleave', () => { element.style.transform = 'translate(0, 0)'; });","300ms","cubic-bezier(0.25, 0.46, 0.45, 0.94)","Yes - transform","Fallback: no movement","Premium buttons, interactive elements, hero sections"
28,Text Reveal,Entrance,"text, reveal, split, words, letters, entrance",".text-reveal .word { display: inline-block; overflow: hidden; } .text-reveal .word span { display: inline-block; transform: translateY(100%); transition: transform 0.5s cubic-bezier(0.65, 0, 0.35, 1); } .text-reveal.visible .word span { transform: translateY(0); }","500ms per word","cubic-bezier(0.65, 0, 0.35, 1)","Yes - transform","Fallback: text always visible","Hero headlines, section titles, creative typography"
29,Image Reveal,Entrance,"image, reveal, mask, clip, entrance, scroll",".image-reveal { clip-path: polygon(0 100%, 100% 100%, 100% 100%, 0 100%); transition: clip-path 0.8s cubic-bezier(0.77, 0, 0.175, 1); } .image-reveal.visible { clip-path: polygon(0 0, 100% 0, 100% 100%, 0 100%); }","800ms","cubic-bezier(0.77, 0, 0.175, 1)","Yes - clip-path","Fallback: image always visible","Image galleries, portfolio items, hero images"
30,Counter Animation,Numbers,"counter, animate, number, statistic, metric",".counter { font-variant-numeric: tabular-nums; } /* GSAP */ gsap.to(counter, { duration: 2, innerText: 1000, snap: { innerText: 1 }, ease: 'power2.out' }); /* CSS */ @property --num { syntax: '<integer>'; initial-value: 0; inherits: false; } .counter { animation: counter 2s ease-out forwards; counter-reset: num var(--num); } .counter::after { content: counter(num); } @keyframes counter { from { --num: 0; } to { --num: 1000; } }","2000ms","ease-out","Yes - CSS @property or JS","Fallback: static number","Statistics, metrics, dashboards, landing pages"
